match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team
5398286311,4525364621,true,1588683845,1998,4311,5,0,3,68,5,236,"103,98,6,45,35","114,99,59,84,27"
5398286218,4525359211,true,1588683844,1774,,,7,22,23,3,137,"1,51,99,128,30","74,93,84,5,63"
5398286214,4525357388,true,1588683844,1700,4094,1,0,22,52,4,155,"100,87,36,42,39","25,33,95,26,21"
5398286213,4525362229,true,1588683844,1889,3270,2,0,3,40,6,236,"104,101,57,37,109","42,1,53,31,128"
5398334700,4525363210,true,1588685262,478,,,0,3,29,3,223,"87,49,8,101,60","94,62,31,100,114"
5398330801,4525365930,false,1588685135,715,1635,1,0,4,29,3,155,"74,9,62,84,31","44,37,1,43,67"
5398329117,4525360357,false,1588685100,561,3370,1,0,22,26,4,188,"53,97,44,26,10","93,30,40,120,11"
5398320614,4525362530,true,1588684840,950,3644,6,0,4,58,8,223,"114,3,82,129,62","126,128,1,87,91"
5398319006,4525354754,false,1588684805,602,4184,1,0,22,55,4,153,"26,74,95,14,49","126,60,87,100,44"
5398316603,4525349426,false,1588684720,406,3031,6,7,22,53,9,182,"87,107,42,76,26","56,83,104,114,55"
5398312001,4525364849,true,1588684586,1069,4711,5,7,22,80,6,132,"126,77,119,13,58","32,39,121,104,50"
5398310613,4525363932,true,1588684561,1222,1544,2,0,22,33,2,232,"111,22,99,32,104","9,86,67,68,6"
5398309518,4525364392,true,1588684530,1310,2690,2,7,22,43,4,132,"68,46,44,14,4","93,85,90,3,104"
5398308807,4525344677,false,1588684509,535,3754,2,7,22,47,9,192,"15,42,121,1,68","39,95,51,25,112"
5398306403,4525364960,true,1588684439,1073,3506,4,7,22,43,8,182,"17,50,8,121,33","85,1,30,10,28"
5398304803,4525365349,false,1588684391,1443,1698,2,7,22,42,6,153,"7,94,17,44,62","129,84,8,80,64"
5398304411,4525362673,true,1588684379,1374,3005,3,7,22,42,5,181,"61,38,8,40,31","89,96,26,119,53"
5398303413,4525365409,true,1588684356,1391,3873,3,7,22,72,8,183,"1,77,107,112,110","33,59,48,36,68"
5398303002,4525365618,true,1588684335,1574,3093,3,0,4,46,7,182,"43,8,63,99,101","110,104,21,69,7"
5398302317,4525365391,true,1588684295,1530,,,7,22,21,4,188,"10,63,101,39,75","71,41,21,114,9"
5398301507,4525365385,true,1588684295,1570,3362,4,0,22,47,5,187,"48,32,121,99,74","1,42,61,9,5"
5398301505,4525362942,false,1588684294,901,628,1,0,22,38,2,152,"7,6,82,90,119","8,10,111,106,35"
5398301105,4525360726,true,1588684274,1363,6312,6,7,22,80,9,227,"22,121,70,33,53","120,86,76,75,109"
5398301019,4525363787,true,1588684284,1521,4312,2,7,22,68,9,186,"44,20,56,129,21","77,90,105,60,91"
5398300904,4525364562,true,1588684278,1530,3739,3,7,22,62,6,188,"126,51,38,21,93","59,104,77,47,99"
5398300804,4525361237,true,1588684274,1423,3952,4,7,3,63,7,227,"71,15,8,21,25","44,87,76,62,129"
5398299807,4525360312,false,1588684244,1413,3133,3,7,22,53,6,184,"7,18,8,85,50","114,80,110,15,30"
5398299801,4525361388,false,1588684249,1470,906,2,0,22,37,3,132,"74,8,112,5,2","44,91,110,32,14"
5398299514,4525364862,false,1588684242,1530,,,7,22,22,4,151,"63,96,101,30,44","84,6,104,11,75"
5398299510,4525364970,false,1588684242,1600,3584,4,7,22,51,7,186,"28,106,88,30,25","45,42,120,37,35"
5398299505,4525364823,true,1588684242,1261,3703,4,7,22,50,7,155,"72,36,95,49,84","5,70,4,91,2"
5398299403,4525358842,true,1588684229,1315,3749,2,7,22,53,6,186,"99,17,25,12,128","82,69,50,8,74"
5398299113,4525359831,false,1588684225,1421,1924,1,7,22,53,5,187,"30,29,113,6,126","82,87,93,26,98"
